tick,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,pressure_pa,temperature_c,latitude,longitude,gps_altitude,unix_time,milliseconds,satellites,baro_altitude,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,quat_w,quat_x,quat_y,quat_z,p_diag_0,p_diag_1,p_diag_2,p_diag_3,p_diag_4,p_diag_5,p_diag_6,p_diag_7,p_diag_8,flags,battery_v,state,relay,last_command
5892,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5902,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5912,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5922,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5932,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5942,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5952,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5962,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5972,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5982,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
5992,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
6002,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
6012,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
6022,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
6032,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
6042,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
6052,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
6062,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
6072,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
6082,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
6092,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
6102,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
6112,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8927285671234131,1,0,3
6122,-1.7034885883331299,-9.660964012145996,0,0,0,0,20,5,-40,101325,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9071857333183289,1,0,3
